idx,D_RT,D_TT,D_InfT,O_RT,O_TT,O_InfT,R_RT,R_TT,R_InfT,C_RT,C_InfT,P_RT,P_TT,P_InfT,Ch_RT,Ch_TT,Ch_InfT
114,9.95E-02,1.63E-01,3.64E-01,9.94E-01,7.45E-01,1.39E-01,5.91E-02,9.65E-01,1.60E-01,8.44E-01,9.20E-01,1.37E-01,5.48E-01,2.87E-01,3.88E-02,2.77E-01,8.57E-01
115,9.14E-01,2.39E-01,1.30E-01,1.00E+00,1.00E+00,9.83E-01,1.80E-01,3.62E-01,9.49E-02,1.00E+00,5.99E-01,4.53E-02,1.00E-03,6.06E-01,9.02E-01,4.87E-01,5.09E-01
116,5.69E-01,3.20E-01,1.00E+00,1.00E+00,3.37E-01,9.98E-01,4.42E-01,2.89E-01,3.01E-01,1.00E+00,6.37E-01,4.90E-02,8.01E-01,2.42E-01,3.67E-01,6.00E-01,6.37E-01
117,9.98E-01,1.45E-01,2.58E-01,1.00E+00,3.47E-01,8.63E-01,3.15E-01,3.31E-01,1.07E-01,1.00E+00,5.67E-01,3.42E-01,1.00E-03,4.80E-01,5.85E-01,9.36E-01,1.00E-03
118,8.87E-01,1.24E-01,2.48E-01,1.00E+00,3.65E-01,2.91E-01,2.79E-01,4.44E-01,1.23E-01,1.00E+00,6.07E-01,3.85E-01,4.76E-02,5.32E-01,5.73E-01,6.99E-01,1.10E-01
119,2.09E-01,1.77E-02,6.02E-01,1.00E+00,7.99E-01,9.34E-01,5.63E-01,8.86E-01,2.00E-01,1.00E+00,3.79E-01,3.12E-01,1.54E-01,8.80E-01,1.00E+00,1.28E-01,8.30E-01
120,1.00E+00,1.00E-03,1.00E+00,1.00E+00,1.00E-03,1.00E-03,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E-03,1.00E-03,1.00E-03,1.00E-03,1.00E+00
121,2.79E-01,6.75E-02,1.13E-01,3.66E-01,2.34E-01,5.33E-01,1.01E-01,1.00E+00,4.96E-01,2.65E-01,1.00E+00,6.82E-02,8.29E-01,1.00E+00,1.00E+00,7.10E-01,1.00E+00
122,8.31E-01,1.00E-03,2.45E-01,1.00E+00,7.98E-01,9.54E-01,3.57E-01,7.59E-01,1.25E-01,1.00E+00,2.52E-01,1.13E-01,2.57E-01,6.25E-01,8.60E-01,1.99E-01,3.34E-01
123,9.37E-01,3.35E-01,1.73E-01,1.00E+00,9.66E-01,1.00E+00,1.89E-01,7.03E-01,1.13E-01,9.72E-01,9.95E-01,7.62E-01,4.60E-03,4.05E-01,1.87E-01,8.82E-01,4.59E-02
124,9.62E-01,3.11E-03,1.00E+00,3.82E-01,4.00E-01,5.46E-01,2.56E-02,7.85E-01,1.32E-01,9.99E-01,5.10E-01,7.25E-01,1.00E-03,9.87E-01,9.93E-01,9.54E-02,2.46E-01
125,3.60E-01,4.93E-01,5.32E-01,1.00E+00,8.90E-01,2.83E-01,2.49E-01,9.90E-01,1.20E-01,9.28E-01,7.40E-02,8.71E-02,2.26E-01,7.30E-01,8.19E-01,9.21E-01,1.59E-01
126,1.96E-01,4.32E-02,5.62E-01,1.00E+00,4.75E-01,3.13E-01,7.46E-02,7.78E-01,1.70E-01,9.98E-01,4.80E-01,3.41E-01,1.80E-01,1.52E-01,6.27E-01,4.45E-01,1.66E-01
127,4.54E-01,9.47E-02,2.83E-01,6.26E-01,5.91E-01,5.05E-01,1.00E-03,6.02E-01,3.13E-01,7.68E-01,1.00E+00,1.98E-01,7.03E-01,7.12E-01,6.93E-01,1.00E+00,8.69E-01
128,1.64E-01,5.21E-01,3.50E-01,1.00E+00,3.96E-01,9.08E-01,5.64E-01,4.21E-01,6.89E-02,9.88E-01,7.37E-01,3.00E-01,9.89E-01,2.37E-01,1.22E-01,6.57E-01,2.94E-01
129,1.00E+00,4.84E-01,5.50E-01,1.00E+00,9.97E-01,2.18E-01,9.67E-01,9.35E-02,2.04E-01,1.00E+00,2.90E-01,3.63E-01,2.68E-03,1.13E-01,3.68E-01,6.00E-02,3.67E-01
130,2.43E-01,2.30E-02,9.99E-01,1.00E+00,7.39E-01,2.53E-01,2.37E-01,3.37E-02,1.11E-01,1.00E+00,9.19E-01,7.80E-01,6.57E-01,2.17E-01,2.74E-01,1.00E-03,9.69E-01
131,8.03E-01,9.68E-01,3.38E-01,1.00E+00,1.87E-01,9.67E-01,1.04E-02,2.60E-01,3.07E-01,9.05E-01,1.00E+00,3.00E-01,9.39E-01,1.20E-01,1.95E-01,5.35E-01,4.76E-01
132,2.28E-01,1.73E-01,4.67E-01,1.00E+00,3.83E-01,5.05E-01,1.22E-01,9.96E-01,5.82E-02,9.99E-01,9.86E-02,7.59E-02,1.73E-02,9.89E-01,8.56E-01,6.24E-01,7.49E-01
133,4.00E-01,6.20E-01,4.41E-01,1.00E+00,1.20E-01,1.00E+00,2.71E-01,3.21E-01,1.19E-01,1.00E+00,4.31E-01,5.21E-01,5.75E-01,2.06E-02,2.98E-01,6.49E-01,1.00E-03
134,7.71E-02,5.88E-01,2.88E-01,8.06E-01,4.65E-01,5.21E-01,5.77E-02,1.00E+00,3.08E-01,8.94E-01,1.00E+00,3.39E-01,1.00E-03,8.58E-01,8.60E-01,5.15E-01,1.79E-01
135,7.19E-01,1.07E-01,4.90E-01,1.00E+00,7.84E-01,7.82E-01,3.77E-01,3.26E-01,1.53E-01,1.00E+00,3.01E-01,1.70E-01,1.13E-01,5.42E-01,8.53E-01,2.25E-01,3.90E-01
136,5.68E-01,8.22E-01,3.28E-01,9.01E-01,6.34E-01,2.91E-01,6.29E-02,6.68E-01,1.51E-01,9.87E-01,6.45E-01,7.56E-01,7.75E-01,6.93E-01,4.14E-01,2.87E-01,5.76E-01
137,4.54E-02,4.93E-01,5.01E-01,1.00E+00,8.90E-01,7.04E-01,8.66E-02,9.88E-01,8.01E-02,4.49E-01,8.25E-02,5.28E-01,9.64E-01,3.99E-01,3.23E-01,9.19E-01,5.68E-01
138,8.08E-01,9.01E-01,9.09E-01,1.00E+00,2.27E-01,9.96E-01,2.57E-01,3.39E-03,2.81E-01,4.61E-01,1.00E+00,1.48E-01,5.70E-01,2.62E-01,1.80E-01,4.00E-01,4.95E-01
139,2.67E-01,3.73E-02,7.01E-02,9.72E-01,2.31E-01,4.94E-01,4.95E-02,4.65E-01,5.04E-01,5.22E-01,1.00E+00,3.38E-02,8.57E-01,1.00E+00,9.85E-01,7.25E-01,1.00E+00
140,8.61E-02,2.33E-01,9.81E-01,1.00E+00,8.07E-02,9.03E-02,1.87E-01,4.30E-01,1.16E-01,9.91E-01,3.75E-01,6.00E-01,3.38E-01,8.43E-01,7.27E-02,1.43E-01,8.17E-01
141,1.00E+00,4.84E-01,5.50E-01,1.00E+00,9.97E-01,2.18E-01,9.67E-01,9.35E-02,2.04E-01,1.00E+00,2.90E-01,3.63E-01,2.68E-03,1.13E-01,3.68E-01,6.00E-02,3.67E-01
142,5.71E-01,1.08E-01,2.99E-01,9.98E-01,5.87E-01,5.78E-01,9.07E-02,2.35E-01,1.88E-01,7.41E-01,7.31E-01,6.22E-01,3.92E-01,8.64E-01,2.34E-01,5.46E-02,5.72E-01
143,1.06E-01,2.33E-01,9.76E-01,1.00E+00,1.97E-01,9.11E-02,1.63E-01,4.26E-01,1.16E-01,9.91E-01,3.82E-01,6.03E-01,3.40E-01,8.43E-01,7.27E-02,1.43E-01,8.17E-01
144,7.37E-02,3.30E-01,5.66E-01,1.00E+00,9.80E-01,9.08E-02,4.34E-01,5.38E-02,1.35E-01,1.00E+00,3.46E-01,8.20E-01,8.77E-01,6.84E-01,7.71E-01,2.50E-01,9.28E-01
145,2.00E-01,3.71E-01,4.06E-01,1.00E+00,7.62E-01,7.73E-02,7.55E-01,9.18E-01,2.08E-01,9.79E-01,3.71E-01,1.54E-01,8.68E-01,4.74E-01,3.44E-01,9.10E-01,1.00E+00
146,6.08E-01,2.09E-01,4.14E-01,1.00E+00,3.97E-01,3.60E-01,1.68E-01,1.43E-01,1.07E-01,9.99E-01,8.78E-01,3.17E-02,6.04E-01,7.20E-01,6.15E-01,6.08E-01,9.83E-01
147,8.11E-02,8.17E-01,2.33E-01,1.00E+00,1.36E-01,3.33E-02,2.14E-01,8.23E-01,2.25E-01,1.00E+00,5.25E-01,8.31E-01,5.45E-01,6.62E-01,2.26E-01,5.37E-01,9.77E-01
148,3.18E-01,3.64E-01,8.49E-01,1.00E+00,1.00E-03,6.79E-03,1.00E+00,9.93E-01,9.44E-01,1.00E+00,1.00E+00,5.49E-01,1.00E-03,1.54E-02,1.00E-03,6.00E-01,1.00E+00
149,4.06E-01,6.97E-01,7.59E-01,1.00E+00,7.39E-01,1.52E-01,4.27E-01,7.51E-01,1.00E-03,1.00E+00,1.57E-01,1.10E-01,2.04E-02,4.90E-01,7.05E-01,5.00E-01,2.10E-01
150,2.81E-01,3.60E-01,2.13E-01,1.00E+00,2.16E-01,7.15E-01,5.04E-01,9.89E-01,1.41E-01,7.89E-01,7.02E-01,2.03E-01,1.78E-01,5.32E-02,1.81E-01,3.01E-01,8.79E-01
151,8.13E-01,5.45E-01,4.83E-01,1.00E+00,6.75E-01,3.77E-01,8.96E-02,2.77E-01,1.45E-01,5.30E-01,8.59E-01,5.44E-01,5.64E-01,7.16E-01,2.90E-01,9.34E-01,6.20E-01
152,2.10E-01,2.37E-01,4.93E-01,1.00E+00,4.19E-01,3.19E-01,8.83E-02,4.91E-01,1.54E-01,5.29E-01,3.36E-01,2.87E-01,4.07E-01,6.08E-01,5.21E-01,8.69E-01,6.74E-01
153,9.82E-02,2.05E-01,1.55E-01,1.00E+00,3.26E-01,3.64E-01,7.02E-02,9.18E-01,1.83E-01,9.99E-01,4.98E-01,7.65E-01,6.24E-01,4.29E-01,8.37E-01,5.28E-01,7.52E-01
154,9.82E-01,9.91E-01,6.37E-01,1.00E+00,4.00E-01,9.94E-01,9.73E-01,1.00E+00,2.35E-01,1.00E+00,1.00E+00,9.89E-01,9.14E-03,3.49E-01,9.12E-01,7.13E-01,9.85E-03
155,2.28E-01,6.59E-01,8.54E-01,8.06E-01,5.97E-01,2.83E-01,4.29E-02,8.92E-01,2.20E-01,9.23E-01,3.52E-01,2.12E-01,2.03E-01,7.52E-01,7.43E-01,3.17E-02,5.14E-01
156,1.65E-01,2.06E-02,4.91E-01,8.77E-01,4.41E-01,7.56E-01,6.50E-02,3.80E-01,1.65E-01,9.99E-01,5.03E-01,1.93E-01,6.73E-01,2.55E-01,8.86E-01,3.40E-01,1.17E-01
157,1.77E-01,9.87E-01,8.77E-01,1.00E+00,6.25E-01,4.21E-01,2.25E-01,2.15E-01,1.91E-01,9.94E-01,9.54E-01,6.83E-01,7.79E-01,2.27E-01,3.07E-01,2.61E-01,3.94E-02
158,9.22E-01,8.29E-02,6.60E-01,1.00E+00,1.12E-01,9.80E-01,5.11E-01,8.43E-01,2.53E-01,8.51E-01,2.42E-01,6.96E-01,2.15E-01,6.36E-01,4.41E-01,1.41E-01,1.37E-01
159,6.21E-01,4.13E-01,7.28E-01,7.51E-01,2.21E-01,6.42E-01,7.22E-01,7.38E-01,4.46E-01,3.71E-01,1.00E+00,8.83E-01,9.08E-01,6.06E-01,5.55E-01,6.49E-01,1.00E+00
160,2.70E-01,6.72E-02,4.70E-01,1.00E+00,4.63E-01,9.68E-01,1.12E-01,8.65E-01,4.29E-02,1.00E+00,4.77E-01,8.78E-01,5.53E-01,8.87E-02,7.90E-01,6.19E-01,9.11E-01
161,2.12E-01,1.05E-01,7.91E-01,1.00E+00,2.04E-02,5.49E-02,1.60E-01,9.66E-02,2.04E-01,8.83E-01,2.63E-01,3.79E-01,7.55E-01,3.10E-01,2.66E-01,1.00E-03,9.92E-01
162,4.18E-01,2.14E-01,7.01E-01,1.00E+00,4.26E-01,7.24E-03,9.12E-01,9.14E-01,1.75E-01,1.00E+00,9.86E-01,3.28E-01,5.58E-01,2.22E-01,7.91E-01,4.51E-01,7.25E-01
163,1.01E-02,1.01E-02,3.15E-01,7.66E-01,6.48E-01,5.62E-01,2.55E-02,1.20E-02,3.49E-01,5.50E-01,1.00E+00,8.10E-02,2.83E-01,1.00E+00,1.87E-01,5.16E-01,1.00E+00
164,5.32E-01,1.56E-01,1.73E-01,9.96E-01,3.08E-01,8.17E-01,4.41E-02,4.81E-01,2.38E-01,9.09E-01,3.76E-01,6.20E-01,2.57E-01,3.43E-01,7.08E-01,7.25E-01,5.77E-01
165,4.78E-01,6.89E-01,6.06E-01,9.89E-01,5.77E-01,9.98E-01,4.32E-02,5.50E-01,2.38E-01,9.31E-01,7.76E-01,2.16E-01,4.71E-01,9.35E-02,8.01E-01,9.29E-01,6.24E-01
166,5.25E-01,1.46E-01,6.72E-01,6.83E-01,7.77E-01,2.89E-01,4.69E-02,5.42E-01,1.48E-01,8.69E-01,7.57E-01,7.88E-01,4.40E-01,5.48E-01,5.05E-01,7.50E-01,9.94E-01
167,6.80E-01,1.81E-01,5.61E-01,1.00E+00,9.95E-01,4.76E-01,1.67E-01,6.54E-01,7.59E-02,9.58E-01,9.24E-02,4.52E-03,1.29E-01,3.95E-01,6.38E-01,2.34E-01,9.93E-01
168,4.37E-01,3.54E-01,5.87E-02,9.89E-01,7.78E-01,3.64E-01,5.71E-02,1.05E-01,1.42E-01,5.22E-01,9.92E-01,1.21E-01,8.33E-01,4.82E-02,2.90E-01,5.88E-01,3.77E-01
